problem_description,question,answer,incorrect,is_ref
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The forces of the truck on to the car is equal to the forces of the car to the truck, but the magnitudes are opposite of each other","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","NEWTONS FIRST LAW","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","The second law is relevant because the net force acting on the meteor is non-zero.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck while it is between the players are the downward force of gravity and the upward normal force from the ice.  These two forces balance each other out as the puck is at rest in the vertical direction. The puck will move in a straight line with a constant speed.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","FORCE OF GRAVITY AND NORMAL FORCE. BALL IS MOVING UPWARD","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","The speed is constant while the trajectory is towards the velocity vector.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","kinetic frictional force, gravitational force, and a normal force","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","Frictional force, the force caused by the push from the mover, the force of its weight, and its normal force are all acting on the box.","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","every action has an equal and opposite reaction","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","The acceleration of the desk is non-zero and the speed is not constant.","1","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","the force exerted on the windshield by the mosquito is less than the force exerted on the mosquito by the windshield","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","the acceleration odf the meteor is equal to the net force divided by the mass of the meteor","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces that applied to the box is the force from the mover, gravity, the normal, and friction","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. The force of friction balances the force of the mover pushing.","0","1"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","Both forces are equal in magnitude","1","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","there is an equal and opposite force on the car and the truck","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The only force acting on the ball is gravity","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension of the rope and the force of gravity both have equal reactions to one another as stated by Newton's third law of motion","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The force of gravity and tension in the rope have equal magnitudes.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move at a constant velocity once the rocket begins pushing on it","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","The net force will be zero","2","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","Newton's First law is the principle that helps us determine the forces.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","The ball's velocity is slowing down.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","It will start from rest and then reach a constant velocity.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","there is a non-zero net force being applied to the meteor so it will move at a constant speed and direction","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's first law?","Newton's first law states that an object in motion tends to stay in motion unless there is an outside force acting upon or it tends to stay at rest unless an outside force acts on it. With this in mind, the meteor will come to rest since there will be no force acting on it after the rocket stops.","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's first law?","Newton's first law states that an object in motion tends to stay in motion unless acted upon by an outside force. It will move at a constant velocity in a straight line. It also says that an object at rest tends to stay at rest unless acted upon by an outside force.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The force of gravity and the tension in the rope balance.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension of the rope equals the mass of the child and the acceleration at which the machine is pulling him out.","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","Net force equals mass times acceleration. In this case because the boy is moving up at a constant velocity, his acceleration is zero. Therefore, his net force must equal zero.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","The amount of tension in the rope is equal to the child's weight.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","That is had to speed up from rest to get to its constant acceleration.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor will move faster and faster","0","1"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","THE FORCE OF THE MOSQUITO ON THE WIDSHIELD IS SMALLER THAN WINSHIELD ON THE MOSQUITO","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","an object stays at rest or keep a constant velocity if the net force is zero","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is balanced by the downward force of gracvity.","0","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","the forces exerted by each are equal","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","The velocity is going down.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","they are equal","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","it has a constant velocity","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","MAGNITUDE OF PUSH INCREASES","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","it is due to gravity","3","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The force exerted on the windshield by the mosquito was small while the force exerted on the mosquited from the windshield was large.","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The forces acting on the ball are the push from the ground acting upward and a gravitational force acting downward. The ball's acceleration is constant, and it's speed is decreasing.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newton's second law is that force is equal to mass times acceleration.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","force is eqal to the weight","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","The sum of forces along the x and y axis equal the net force acting on an object.","3","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The force exerted by the truck is greater than the force that the car acts on the truck","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","The balls acceleration is in the direction of gravity.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","the direction of the ball's acceleration is the same with that of the force.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","the force of the man pushing and a frictional force and a normal force and the force of the weight of the box","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Can you articulate the definition or principle that helps us determine the forces?","newton's second law states that the net total of the forces in the horizontal direction must cause the box to accelerate. Because there is no net force in the vertical direction, the box does no move up or down. Because there is a net force in the horizontal plane, there must be movement along thr horizontal","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","the amount of tension in the rope is greater than the force of gravity","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck are the applied force,normal force, and gravity","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The force from the ground after the ball hits it, the velocity of the ball after it hits the ground. The ball is moving upward","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","IT MOVES AT A CONSTANT VELOCITY","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The force multiplied by two and then by time all divided by mass equals the velocity.","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","The puck will travel in a straight line with its speed being constant","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","Newton's second law is revevant because it says net force equals mass times acceleration. It also says that the net force and acceleration are always in the same direction.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you identify which of Newton's laws is relevant to this problem and why?","The Newton's second law is relevant because the rocket exerts a net force on the meteor.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","The acceleration of the desk and its speed will increase after the mover doubles his push.","1","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","According to the third law of Newton, every force has an equal and opposite force. The force applied on the truck by the car is equal to the force applied on the car by the truck in magnite but not direction.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","When the ball is moving upward it is in free-fall and it is affected by the Earth's gravitational pull.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","the force applied by the man pushing on the block and the force acting against it of static friction","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newton's second law states that the force of an object is equal to the mass multiplied by the acceleration of the object.","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck are a normal force and gravitational force.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the total or net force on the desk when the mover doubles his force?","The force would be doubled.","3","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The magnitude of force the small car puts on the truck is less than the magnitude the truck puts on the car.","2","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","they are the same","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","Frictional force, normal force, and gravity.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which vertical forces acting on the box balance each other?","THE NORMAL FORCE AND THE FORCE OF GRAVITY PLUS THE MASS OF THE BOX. THE NORMAL FORCE AND THE WEIGHT FORCE ARE OPPOSITE OF EACH OTHER.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","the velocity will double","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Net force is equal to mass times acceleration.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","The second law of Newton's explains that the net forces acting on an object equals to the mass of the object multiplied by the acceleration of the object.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","THE METEOR WILL ACCELERATE AND THEN MOVE WITH A CONSTANT VELOCITY","2","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","THE METEOR WILL CONTINUE MOVING AT A CONSTANT SPEED","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","How does Newton's first law apply to this situation?","The box will move with a constant velocity in a straight line.","3","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The car and the truck exert the same force on each other due to newtons third law of each object action having an equal and opposite reaction","0","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The forces from the truck and car are equal and opposite.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","How does Newton's first law apply to this situation?","An object in motion will stay in motion.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","no","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","Newtons third law applys because the force of the bug hitting thye window is equal to and opposite of the force that the window exerts on the bug","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","the puck will continue in a straight line at a constant velocity until a force is applied to it.","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will stop moving if there is no force present because there is no acceleration acting on the meteor","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","So, can you quickly apply Newton's first law to this problem?","The meteor will move at a constant velocity after the rocket loses fuel","1","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","the basketball's velocity is slowing down.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","Mover's push equals friction.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The forces that are acting on the ball is the earth's gravitational pull on the ball and the basketball player's push on the basketball to the ground.","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces acting on the box are friction from the carpet, the pushing force by the man, the gravitational force from Earth, and the normal force from the ground on the box. The gravitational and normal force balance each other out.","1","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The force the truck exerts on the car is the same as the force the car exerts on the truck but in opposite directions.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","THE SPEED IS INCREASING","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The speed of the desk will increase because there is a force being applied in the postive direction on the desk","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","The gravity and the tension have equal magnitudes.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The push from the rocket makes the meteor move with a non-zero acceleration, according to Newton's second law.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","Since the non zero net force is applied to the meteor, Newton's second law states that the object is accelerating.","0","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The force exerted by the windshield on the mosquito and the force exerted by the mosquito on the windshield are a third-law pair of action and reaction.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which of Newton's laws could be useful to this problem and why?","Newton's second law is useful here.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The net or total force on the meteor is the same as the push from the rocket as no other forces are acting on the meteor. According to Newton's second law, the pushing force from the rocket will make the meteor move with constant acceleration in the direction of that force.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","the velocity and speed of the basketball","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck are weight and the upward normal force from the ice. The puck will move in a straight line with a constant speed.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","The push is going to be greater than the opposing forces.","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the amounts of the tension in the rope pulling the child and the force of gravity pulling the child downwards?","the are balanced","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","THE ACCELERATION IS NEGATIVE","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which vertical forces acting on the box balance each other?","The vertical forces that balance each other are the Normal force of the box and the weight of the box.","0","0"
"While speeding up, a large truck pushes a small compact car.","Can you articulate a principle or definition which justifies your answer?","Newton's 3rd law","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","the net force is pulling the kid up","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","The gravity and the tension balance.","0","1"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The large truck exerts a greater force because it has a greater mass than the small car. A larger force is pushing on the car from the truck and a smaller force is pushing back on the truck from the car.","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's 2nd law applies as a non-zero net force acts on the desk","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's first law?","An object at rest remains at rest and an object in motion remains in motion","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","Force from the mover's push and frictional force from the carpet","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor motion is constant","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","NET FORCE AND GRAVITY FORCE","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","The forces acting on the puck while it is between the players are the downward force of gravity and the upward normal force from the ice.  These two forces balance each other out as the puck is at rest in the vertical direction","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","it is zero","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","it is decreasing","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","the direction of the ball's acceleration moves with the direction of the applied force","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","same as the downward direction of the force","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because it is a vector, acceleration provides what two types of information?","the magnitude and direction","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","there is a normal force acting upwards on the puck and the force of gravity that pulls the puck down. These two forces cancel each other out","1","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is acting on the basketball when it is moving upward and when the basketball is between the player's hand and the ground.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","the speed of the desk incerases as the force increase","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","THE FORCE OF GRAVITY IS ACTING ON IT","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","Newton's second law is helpful here. If the rocket pushes with a constant force, the meteor will move with a constant acceleration.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's second law is relevant","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's third law.","2","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","These two forces originally cancelled eachother out.","0","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","The first law is relevant because the problem involves the meteor on which no forces are acting.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will then move at a constant speed.","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","it will accelerate","0","0"
